"Year","Brazil","China","India","Russia","Saudi Arabia"
"2011","713480","2945000","2647150","1364000","249000"
"2012","713480","2993000","2728700","1364000","249000"
"2013","713480","2993000","2749700","1260000","251500"
"2014","729500","2993000","2749700","1287000","251500"
"2015","729500","2843000","2798800","1490000","251500"
"2016","729500","2695000","2981050","1454000","251500"
"2017","730000","2695000","3031000","1454000","252000"
"2018","761500","2695000","3026500","1454000","252000"
"2019","762000","2535000","3045000","1454000","252000"
"2020","762000","2535000","3068000","1454000","282000"
